id,sku,title,vendor,product_type,super_category,primary_category,product_category_type,collection_name,colour_finish,material,grade_of_material,style,installation_type,application_location,handle_type,handle_count,product_range,overall_width_mm,overall_depth_mm,overall_height_mm,overall_length_mm,weight_kg,flow_rate_lpm,water_pressure_min_kpa,water_pressure_max_kpa,tap_hole_size_mm,wels_rating,is_lead_free,lead_free_compliance,warranty_years,warranty_url,product_url
1975,B166385,"Argent Grace 2.0 Basin Mixer - LF Brushed Gold - B166385",Argent,,Tapware,"Basin Tapware","Basin Mixer","Grace 2.0","Brushed Gold","Solid Brass",,"Contemporary, Transitional","Hob Mounted","Bathroom, Kitchen, Laundry","Pin lever",1,"Grace 2.0",140,100,160,,1.5,5.0,150,500,1,6,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-onovo-style-basin-mixer-brushed-gold
1976,B166380,"Argent Grace 2.0 Basin Mixer - LF Brushed Nickel - B166380",Argent,,Tapware,"Basin Tapware","Basin Mixer",Vita,"Brushed Nickel","Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Pin lever",1,"Grace 2.0",164,164,110,,2.8,6.0,150,500,35,6,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-vita-basin-mixer-brushed-nickel
1977,B166361,"Argent Grace 2.0 Basin Mixer - LF Chrome - B166361",Argent,,Tapware,"Basin Tapware","Basin Mixer","Argent Grace",Chrome,"Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Pin lever",1,"Grace 2.0",,,,,,4.5,,,,6,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-vita-basin-mixer-chrome
1978,B166390,"Argent Grace 2.0 Basin Mixer - LF Gun Metal - B166390",Argent,,Tapware,"Basin Tapware","Basin Mixer","Argent Grace 2.0",Gunmetal,"Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Pin lever",1,"Grace 2.0",,,,,,4.5,,,,6,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-vita-basin-mixer-gun-metal
1979,B166395,"Argent Grace 2.0 Basin Mixer - LF Matte Black - B166395",Argent,,Tapware,"Basin Tapware","Basin Mixer","Argent Grace 2.0","Matte Black","Solid Brass",,Contemporary,"Hob Mounted",Kitchen,"Pin lever",1,"Grace 2.0",,,,,,4.5,,,,6,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-onovo-style-basin-mixer-matte-black
2063,BM220111BN,"Argent Grace Basin Mixer - Brushed Nickel - BM220111BN",Argent,,Tapware,"Basin Tapware","Basin Mixer",Grace,"Brushed Nickel","Solid Brass",,,"Hob Mounted",,,,,74,140,160,,1.3,5.0,150,500,35,5,0,,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/argent-tapware-basin-mixers-basin-mixers-grace-basin-mixer
2064,BM220111,"Argent Grace Basin Mixer - Chrome - BM220111",Argent,,Tapware,"Basin Tapware","Basin Mixer","Grace 2.0",Chrome,"Solid Brass",,Traditional,"Hob Mounted",Bathroom,"Pin lever",1,Grace,180,145,180,,,7.5,150,500,,5,0,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/argent-tapware-basin-mixers-basin-mixers-grace-20-basin-mixer-chrome-lead-free
2065,BM220111GM,"Argent Grace Basin Mixer - Gun Metal - BM220111GM",Argent,,Tapware,"Basin Tapware","Basin Mixer","O.Novo Style",Gunmetal,"Solid Brass",,,"Hob Mounted",,,,,157,157,135,,1.7,,,,35,,0,,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-vessel-basin-mixers-onovo-style-vessel-basin-mixer-gun-metal
2494,B144285,"Argent Pace 2.0 Basin Mixer - LF Brushed Gold - B144285",Argent,,Tapware,"Basin Tapware","Basin Mixer","Pace 2.0","Brushed Gold","Solid Brass",,Modern,"Hob Mounted",Bathroom,"Single Lever",1,"Pace 2.0",171,216,143,,3.25,6.0,150,500,35,5,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-vessel-basin-mixers-vita-vessel-basin-mixer-brushed-gold
2495,B144280,"Argent Pace 2.0 Basin Mixer - LF Brushed Nickel - B144280",Argent,,Tapware,"Basin Tapware","Basin Mixer","Argent Pace 2.0","Brushed Nickel","Solid Brass",,Modern,"Hob Mounted",Bathroom,"Single Lever",1,"Pace 2.0",,,,,,5.0,,,,5,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-onovo-basin-mixer-brushed-nickel-lead-free
