sku,vendor,shopify_title,product_id,field,proposed_value,confidence,source,issues
1306,Abey,Gareth Ashton Vicenza Natural Stone Basin - Gloss White,6770819366956,material,Stone,0.50,tag,
17051B,Abey,Gessi Emporio Kitchen Mixer – Black,6921060319276,installation_type,Hob Mounted Taps,0.60,tag,
1B1-B,Abey,Gareth Ashton Park Avenue Basin Mixer - Black - 1B1-B,6770773458988,installation_type,Hob Mounted Taps,0.60,tag,
1B2,Abey,Gareth Ashton Park Avenue High Basin Mixer - Chrome - 1B2,6770255659052,installation_type,Hob Mounted Taps,0.60,tag,
1ISX100L,Abey,Abey Barazza Select 100 Left Hand Single Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX100L,7675414183980,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1ISX100R,Abey,Abey Barazza Select 100 Right Hand Single Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX100R,7675416150060,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1ISX120L,Abey,Abey Barazza Select 120 Left Hand 1 & 3/4 Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX120L,7675417428012,colour_finish,Stainless Steel,0.20,tag,material_as_colour
1ISX120R,Abey,Abey Barazza Select 120 Right Hand 1 & 3/4 Bowl Topmount Sink with Drainer - Stainless Steel - 1ISX120R,7675419721772,colour_finish,Stainless Steel,0.20,tag,material_as_colour
